unique_input_record_	input_title	lookup_key	lookup_key_given	database_song_code	database_song_title	database_song_writers
6	Short Short Twist	SHORTSHORTTWIST	SHORTSHORTTWIST	0152474231	SHORT SHORT TWIST	JONES
19	Rain Over Kilimantscharo	RAINOVERKILIMANTSCHARO	RAINOVERKILIMANTSCHARO	0146619320	RAIN OVER KILIMANTSCHARO	STEVE MANDY
59	Choose That One	CHOOSETHATONE	CHOOSETHATONE	0147526269	CHOOSE THAT ONE	DOYLE PATRICK
65	Chewin' Mi Mic	CHEWINMIMIC	CHEWINMIMIC	0149512307	CHEWIN MI MIC	BABLEE/EL-KADY/ERDEVEN/RAUX/SEVRET/WAUTH
67	Onde o Nordeste Garoa	ONDEONORDESTEGAROA	ONDEONORDESTEGAROA	0130085886	ONDE O NORDESTE GAROA	ONILDO ALMEIDA ONILDO ALMEIDA
75	Malacoda	MALACODA	MALACODA	0154376852	MALACODA	CASPIAN
91	Pashunfruit	PASHUNFRUIT	PASHUNFRUIT	0154655105	PASHUNFRUIT	GUSTAF ISAACSON
96	You Did It, You Did It	YOUDIDITYOUDIDIT	YOUDIDITYOUDIDIT	0102086696	YOU DID IT YOU DID IT	KIRK ROLAND
103	Operation New Me	OPERATIONNEWME	OPERATIONNEWME	0153072633	OPERATION NEW ME	MORIUCHI/JAMIL/MCKAY/GUTSTADT/PETERS
107	Wetin We Gain	WETINWEGAIN	WETINWEGAIN	0154575604	WETIN WE GAIN	VICTOR AD
115	You Can't Outrun 'Em	YOUCANTOUTRUNEM	YOUCANTOUTRUNEM	0141064988	YOU CAN'T OUT RUN EM	LEWIS JENNY DIANE
124	Sonata no. 14 in G major: III. Andante cantabile	SONATANO14INGMAJORIIIANDA	SONATANO14INGMAJORIIIANDA	0149137591	SONATA NO. 14 IN G MAJOR: III. ANDANTE CANTABILE	GIUSEPPE TARTINI
135	Satanic Barbarism	SATANICBARBARISM	SATANICBARBARISM	0136768349	SATANIC BARBARISM	MALONE B/HERSEMANN E
139	Sti Theoria	STITHEORIA	STITHEORIA	0145829519	STI THEORIA	VALENTINO/HRISTODOULOS SIGANOS
140	Marcha do Donzel	MARCHADODONZEL	MARCHADODONZEL	0142320961	MARCHA DO DONZEL	BRAGA D/SUASSUNA A
145	Festival Crash	FESTIVALCRASH	FESTIVALCRASH	0146749998	FESTIVAL CRASH	CORSTEN FERRY
148	Slow Ruin	SLOWRUIN	SLOWRUIN	0144389452	SLOW RUIN	SANNHET
150	Whiskey Ghost	WHISKEYGHOST	WHISKEYGHOST	0144580879	WHISKEY GHOST	NICHOLSON G/HAMBRIDGE T
162	Thanu Vethikina	THANUVETHIKINA	THANUVETHIKINA	0154545022	THANU VETHIKINA	GOPI SUNDAR/SIRIVENNELA SEETHARAMA SASTR
173	Be Ma Fela	BEMAFELA	BEMAFELA	0149753201	BE MA FELA	TIAGO NOVO
181	You Don't Want to Get You One of Those	YOUDONTWANTTOGETYOUONEOFT	YOUDONTWANTTOGETYOUONEOFT	0152879414	YOU DON'T WANT TO GET YOU ONE OF THOSE	KNOPFLER MARK
193	Pusti Micu, Gadan Je U Picu	PUSTIMICUGADANJEUPICU	PUSTIMICUGADANJEUPICU	0141448081	PUSTI MICU, GADAN JE U PICU	BAJA MALI KNINDZA/BAJA MALI KNINDZA
197	Superfine Love	SUPERFINELOVE	SUPERFINELOVE	0105190169	SUPERFINE LOVE	WALDEN N/BIANCANIELLO L/COHEN J
208	Agar Tu Hota	AGARTUHOTA	AGARTUHOTA	0149986704	AGAR TU HOTA	TIWARI A/UPADHYAY A
209	Alguien Que Se Cruce En Mi Camino	ALGUIENQUESECRUCEENMICAMI	ALGUIENQUESECRUCEENMICAMI	0147919020	ALGUIEN QUE SE CRUCE EN MI CAMINO	EDUARDO FRANCO/CACHO VALDEZ/EDUARDO FRAN
214	Kapardina	KAPARDINA	KAPARDINA	0134404180	KAPARDINA	UNKNOWN
218	Habit of Mind	HABITOFMIND	HABITOFMIND	0140753013	HABIT OF MIND	LANG K/GRANGE J/CLARKE D
221	Undercover of My Skin	UNDERCOVEROFMYSKIN	UNDERCOVEROFMYSKIN	0154098394	UNDERCOVER OF MY SKIN	WALKER B/SKUBISZEWSKI J
231	Dionysian Urge	DIONYSIANURGE	DIONYSIANURGE	0139484292	DIONYSIAN URGE	WHEELER TIMOTHY JAMES ARTHUR
236	Krajina je majka	KRAJINAJEMAJKA	KRAJINAJEMAJKA	0143328731	KRAJINA JE MAJKA	ZIVKOVIC V/ZIVKOVIC V
